L1,L2,C,R
5.000000e-09,2.193648e-10,9.598710e-13,5.000000e-01
3.178005e-09,6.821659e-10,9.734249e-13,5.000000e-01
5.000000e-09,3.924665e-10,8.950062e-13,5.000000e-01
3.611716e-09,4.449878e-10,1.407383e-12,5.000000e-01
5.000000e-09,5.459173e-10,5.199884e-13,5.000000e-01
4.835809e-09,4.845354e-10,7.604648e-13,5.000000e-01
4.108757e-09,3.705694e-10,1.308480e-12,5.000000e-01
5.000000e-09,4.876998e-10,6.701036e-13,5.000000e-01
3.426659e-09,1.995611e-09,2.346575e-12,5.000000e-01
3.456853e-09,4.990328e-10,1.650046e-12,5.000000e-01
3.741213e-09,5.328135e-10,1.169495e-12,5.000000e-01
3.639440e-09,5.809283e-10,7.718985e-13,5.000000e-01
5.000000e-09,4.535540e-10,1.041430e-12,5.000000e-01
3.231782e-09,7.395118e-10,1.397517e-12,5.000000e-01
4.997885e-09,3.491130e-10,6.063655e-13,5.000000e-01
2.936910e-09,1.042520e-10,4.942204e-13,5.000000e-01
3.419880e-09,4.053488e-10,7.357917e-13,5.000000e-01
5.000000e-09,2.990135e-10,8.441419e-13,5.000000e-01
5.000000e-09,4.562030e-10,9.438342e-13,5.000000e-01
5.000000e-09,5.392642e-10,1.041478e-12,5.000000e-01
5.000000e-09,1.366135e-10,8.404069e-13,5.000000e-01
4.470278e-09,5.289382e-10,7.440583e-13,5.000000e-01
5.000000e-09,4.311116e-10,7.827620e-13,5.000000e-01
5.000000e-09,1.032258e-10,8.441321e-13,5.000000e-01
5.000000e-09,3.460498e-10,8.800307e-13,5.000000e-01
5.000000e-09,4.816753e-10,9.310126e-13,5.000000e-01
5.000000e-09,4.040519e-10,6.715779e-13,5.000000e-01
5.000000e-09,1.695383e-10,1.363720e-12,5.000000e-01
5.000000e-09,3.759000e-10,7.820212e-13,5.000000e-01
5.000000e-09,4.459917e-10,8.838230e-13,5.000000e-01
5.000000e-09,5.576893e-10,8.557649e-13,5.000000e-01
5.000000e-09,3.133762e-10,7.470853e-13,5.000000e-01
3.388249e-09,5.458749e-10,1.485554e-12,5.000000e-01
5.000000e-09,4.200804e-10,1.016968e-12,5.000000e-01
2.880956e-09,5.402429e-10,1.413535e-12,5.000000e-01
5.000000e-09,3.604919e-10,7.741344e-13,5.000000e-01
5.000000e-09,1.000000e-10,8.015370e-13,5.000000e-01
5.000000e-09,4.083926e-10,8.755771e-13,5.000000e-01
5.000000e-09,2.481566e-10,9.127541e-13,5.000000e-01
5.000000e-09,3.885784e-10,6.313404e-13,5.000000e-01
5.000000e-09,3.658505e-10,8.977256e-13,5.000000e-01
4.998901e-09,8.334350e-10,1.180101e-12,5.000000e-01
4.999686e-09,5.415119e-10,2.256943e-12,5.000000e-01
4.637506e-09,4.960772e-10,7.763852e-13,5.000000e-01
4.086016e-09,5.277438e-10,1.553336e-12,5.000000e-01
2.697428e-09,9.865209e-10,1.371574e-12,5.000000e-01
4.913787e-09,4.825058e-10,9.489941e-13,5.000000e-01
2.977187e-09,6.249185e-10,1.338187e-12,5.000000e-01
3.937615e-09,5.456120e-10,8.817868e-13,5.000000e-01
5.000000e-09,3.944932e-10,6.258961e-13,5.000000e-01
3.842775e-09,5.364681e-10,1.075695e-12,5.000000e-01
5.000000e-09,3.485325e-10,9.463513e-13,5.000000e-01
4.528460e-09,4.884602e-10,8.107396e-13,5.000000e-01
5.000000e-10,7.368422e-10,8.093446e-13,5.000000e-01
4.992121e-09,4.080887e-10,5.978168e-13,5.000000e-01
2.430465e-09,4.875922e-10,5.363115e-13,5.000000e-01
5.000000e-09,1.597687e-10,8.456822e-13,5.000000e-01
3.566644e-09,5.640263e-10,8.931693e-13,5.000000e-01
4.350832e-09,1.489209e-10,5.059668e-13,5.000000e-01
5.000000e-09,2.073533e-10,9.011493e-13,5.000000e-01
4.999518e-09,3.187281e-10,1.008787e-12,5.000000e-01
4.999677e-09,4.108135e-10,9.798785e-13,5.000000e-01
4.705661e-09,4.671929e-10,6.914503e-13,5.000000e-01
3.451908e-09,5.533100e-10,1.174900e-12,5.000000e-01
3.553349e-09,1.512406e-09,2.331688e-12,5.000000e-01
5.000000e-09,1.179875e-10,8.407217e-13,5.000000e-01
4.999121e-09,3.133731e-10,9.639167e-13,5.000000e-01
3.454709e-09,5.316951e-10,1.036607e-12,5.000000e-01
5.000000e-09,3.690555e-10,7.925129e-13,5.000000e-01
3.099959e-09,6.834924e-10,8.480635e-13,5.000000e-01
4.988475e-09,4.589473e-10,8.019696e-13,5.000000e-01
4.999739e-09,4.143251e-10,8.658047e-13,5.000000e-01
4.999238e-09,6.736917e-10,7.670552e-13,5.000000e-01
2.754455e-09,4.555847e-10,8.184173e-13,5.000000e-01
4.537280e-09,4.656925e-10,8.514512e-13,5.000000e-01
4.999176e-09,3.800355e-10,8.080156e-13,5.000000e-01
